DATA,STDEV.S (±5p),Max,STDEV.S (±20p),Mean Max value over 100 points
-0.05,0.054822026,-0.03,0.049921311,-0.08949
-0.14,0.052013984,-0.03,0.053419089,-0.08768
-0.05,0.046003952,-0.03,0.053343368,-0.08778
-0.12,0.047634976,0.03,0.053589845,-0.08768
-0.14,0.043442752,0.03,0.054332759,-0.08616
-0.16,0.044599225,0.03,0.054510812,-0.08727
-0.14,0.040090806,0.03,0.054502685,-0.08596
-0.12,0.058043871,0.03,0.055100834,-0.08475
-0.03,0.056761062,0.03,0.055401484,-0.08535
-0.11,0.057524698,0.03,0.05556017,-0.08576
-0.14,0.058898989,0.03,0.056408768,-0.08576
-0.11,0.065003496,0.03,0.056255429,-0.08505
0.03,0.066606033,0.03,0.05644017,-0.08838
-0.14,0.066606033,0.03,0.056619419,-0.08889
-0.14,0.064102191,0.03,0.059503297,-0.08747
-0.16,0.066537754,0.03,0.059454888,-0.08758
0,0.068157571,0.03,0.062496069,-0.08778
-0.16,0.075426063,0.03,0.065364639,-0.08727
-0.12,0.067595051,0.03,0.065585362,-0.08657
-0.06,0.066783231,0.03,0.065499191,-0.08768
-0.04,0.065115282,0.03,0.080281895,-0.08838
-0.02,0.057965507,0.03,0.080620517,-0.08758
0.03,0.056035703,0.03,0.081334386,-0.08677
-0.08,0.057698275,-0.01,0.081105321,-0.08485
-0.13,0.058620505,-0.01,0.081105321,-0.08657
-0.03,0.058898989,-0.01,0.080974136,-0.08707
-0.05,0.061125802,0.04,0.080770788,-0.08505
-0.11,0.060677988,0.04,0.08011965,-0.08313
-0.17,0.050090827,0.04,0.081152414,-0.08141
-0.13,0.05088311,0.06,0.083339756,-0.08293
-0.05,0.061850259,0.06,0.083130206,-0.08354
-0.01,0.060136209,0.06,0.083038237,-0.08505
-0.12,0.072701132,0.06,0.082824582,-0.08434
-0.12,0.085769246,0.06,0.082716209,-0.08131
-0.06,0.081530808,0.06,0.086251454,-0.08091
0.04,0.08050974,0.06,0.086591031,-0.08091
-0.08,0.129635854,0.06,0.091835594,-0.08343
-0.22,0.128239832,0.06,0.091083669,-0.08545
0.06,0.130418905,0.06,0.090199115,-0.08566
-0.02,0.130335232,0,0.091606192,-0.08495
0,0.130565205,0.02,0.092709312,-0.08000
-0.39,0.123964804,0.02,0.094756201,-0.08162
-0.04,0.124666829,0.02,0.09656905,-0.08071
-0.17,0.117651257,0.02,0.096679077,-0.08313
-0.06,0.113530132,0.02,0.095217883,-0.08303
-0.05,0.117713056,0.02,0.095331211,-0.08293
-0.08,0.113177254,0.02,0.0955818,-0.08424
-0.05,0.064314568,0.02,0.106510649,-0.08495
-0.05,0.064314568,0.12,0.106492452,-0.08535
0.02,0.057508893,0.12,0.108163979,-0.08434
-0.21,0.084067073,0.12,0.107325278,-0.08253
-0.12,0.084777784,0.12,0.107153857,-0.08131
-0.09,0.108652909,0.12,0.107335596,-0.07788
-0.04,0.108023566,0.12,0.107189506,-0.07616
-0.09,0.107263482,0.12,0.108836594,-0.07717
-0.28,0.110765928,0.12,0.109506089,-0.07626
-0.16,0.107871978,0.12,0.110033218,-0.07505
0.12,0.114812099,0.12,0.108961167,-0.07677
-0.1,0.120332872,0.05,0.113325353,-0.07727
-0.08,0.122429943,0.05,0.115445595,-0.07919
0.05,0.122429943,0.05,0.113460127,-0.07667
-0.18,0.100480663,0.05,0.11582675,-0.07495
0.05,0.093740454,0.05,0.119263614,-0.07556
0.05,0.129108834,0.05,0.109912378,-0.07657
-0.14,0.129544657,0.04,0.113144426,-0.07384
-0.09,0.134745551,0.04,0.112403028,-0.07354
-0.05,0.128558441,0.04,0.11708673,-0.07354
-0.01,0.125045446,0.04,0.117036591,-0.07172
-0.39,0.119026353,0.04,0.125647382,-0.07232
-0.12,0.112766855,0.04,0.125647382,-0.07263
0.04,0.117628073,0.12,0.125699813,-0.07354
-0.09,0.11952938,0.12,0.130346671,-0.07202
-0.11,0.121968699,0.12,0.13143134,-0.07040
-0.03,0.121968699,0.12,0.132351172,-0.06960
-0.02,0.095536761,0.12,0.133666251,-0.06808
-0.21,0.116275535,0.12,0.146854807,-0.06303
-0.17,0.111028252,0.12,0.148134954,-0.06354
-0.01,0.121528149,0.12,0.144890076,-0.06374
-0.01,0.13302768,0.12,0.148176438,-0.06374
0.12,0.134556511,0.12,0.14538489,-0.06131
-0.28,0.147740559,0.22,0.145444292,-0.05747
-0.12,0.141228377,0.22,0.147864084,-0.05778
0.08,0.154860641,0.22,0.147766689,-0.05919
0.12,0.153741223,0.22,0.148102805,-0.05960
0.02,0.176887227,0.22,0.146767684,-0.06061
-0.25,0.167646815,0.22,0.146999145,-0.06434
-0.12,0.151944966,0.22,0.149217598,-0.06475
-0.29,0.172458164,0.32,0.156621657,-0.06485
-0.06,0.173844235,0.32,0.157397508,-0.06495
0.22,0.160527539,0.32,0.158442377,-0.06313
-0.05,0.162385624,0.32,0.153517993,-0.05808
-0.04,0.202439666,0.32,0.153435014,-0.05636
-0.32,0.205930262,0.32,0.157055196,-0.05636
-0.25,0.193569344,0.32,0.158449366,-0.05606
-0.19,0.206833266,0.32,0.15934424,-0.05788
0.04,0.183347658,0.32,0.161213903,-0.06212
0.32,0.183654815,0.32,0.162117768,-0.06667
-0.2,0.187563323,0.06,0.160868008,-0.06667
-0.01,0.178549713,0.09,0.16048756,-0.06162
-0.29,0.175234907,0.23,0.167510268,-0.05485
-0.13,0.173828547,0.23,0.168375733,-0.05495
-0.04,0.175442298,0.23,0.1659911,-0.05566
-0.25,0.129340987,0.23,0.16347317,-0.05768
-0.21,0.160861318,0.23,0.163267779,-0.05848
-0.2,0.162838459,0.23,0.161872692,-0.05677
-0.04,0.153457131,0.23,0.160686167,-0.05707
0.06,0.16055019,0.23,0.160274888,-0.05707
0.09,0.160640762,0.23,0.158455656,-0.05747
0.23,0.169400011,0.23,0.158827375,-0.06212
0.03,0.169400011,0.12,0.157517775,-0.06626
-0.21,0.168490626,0.12,0.170586572,-0.06808
0.12,0.173058056,0.25,0.166784455,-0.06566
-0.02,0.172568827,0.25,0.166853163,-0.06576
-0.31,0.169555569,0.25,0.167404458,-0.06636
-0.21,0.143324172,0.25,0.164780131,-0.06828
-0.19,0.172921422,0.25,0.163979106,-0.06677
0.09,0.169045448,0.25,0.162186404,-0.06727
0.05,0.160889573,0.25,0.163241324,-0.06717
-0.12,0.163829179,0.25,0.154030746,-0.06485
-0.14,0.140712473,0.25,0.167226413,-0.06374
0.25,0.129059535,0.25,0.176316752,-0.06414
0.06,0.130418905,0.14,0.174140191,-0.06616
-0.08,0.125335912,0.38,0.173714229,-0.06455
0.05,0.124213892,0.38,0.173720604,-0.06212
-0.09,0.121662723,0.38,0.172219245,-0.06495
-0.08,0.122704375,0.38,0.185578918,-0.07263
-0.2,0.151261363,0.38,0.184784751,-0.07737
-0.02,0.160776525,0.38,0.184833288,-0.07263
0.03,0.160776525,0.38,0.186115802,-0.06323
0.03,0.160487892,0.38,0.19003118,-0.06071
0.14,0.164405264,0.38,0.199189943,-0.06354
0.38,0.165595345,0.38,0.209874719,-0.06697
-0.17,0.145139431,0.16,0.208620422,-0.06828
-0.08,0.158710715,0.16,0.211179255,-0.06131
0.04,0.161019479,0.16,0.228030471,-0.05778
0.16,0.22808292,0.16,0.225260032,-0.05525
0.16,0.252629805,0.16,0.224590436,-0.05727
0.03,0.210726018,0.45,0.226514834,-0.05737
-0.16,0.209861426,0.45,0.22569494,-0.05717
-0.04,0.210112524,0.45,0.225334008,-0.05626
-0.49,0.214709106,0.45,0.225127502,-0.05081
-0.41,0.26123831,0.45,0.224870333,-0.05283
-0.21,0.258073281,0.45,0.221660401,-0.05364
-0.07,0.257713724,0.45,0.234269204,-0.05606
-0.06,0.258495648,0.45,0.242295912,-0.05485
0.1,0.267217991,0.45,0.242394615,-0.04960
0.45,0.270235587,0.51,0.242693222,-0.04717
0.12,0.280431486,0.51,0.242861996,-0.04646
0.02,0.278166072,0.51,0.242138635,-0.05141
-0.18,0.293746954,0.51,0.244175336,-0.05646
-0.3,0.34124105,0.51,0.244280533,-0.06121
-0.51,0.341587204,0.51,0.243753865,-0.06535
-0.49,0.307000148,0.51,0.241662982,-0.06798
-0.09,0.306051095,0.51,0.231406935,-0.06939
0.22,0.304368198,0.51,0.231077691,-0.07172
0.51,0.304774134,0.51,0.231137349,-0.07162
0.11,0.298407897,0.11,0.231089432,-0.06889
-0.17,0.26032148,0.05,0.234871139,-0.06697
-0.28,0.216853532,0.05,0.231824341,-0.06768
-0.03,0.275311394,0.05,0.235694821,-0.06828
-0.01,0.289965515,0.05,0.251566741,-0.06970
0.02,0.211247378,0.05,0.253835473,-0.07030
0.05,0.192514462,0.05,0.263712107,-0.06697
-0.18,0.193042624,0.04,0.284582615,-0.07081
-0.55,0.19462785,0.04,0.285401739,-0.07242
-0.46,0.193808715,0.04,0.295617866,-0.07040
-0.19,0.198535548,0.04,0.299684773,-0.07515
-0.15,0.191211449,0.04,0.299542102,-0.07646
-0.13,0.184829159,0.04,0.308872669,-0.07414
-0.02,0.194697901,0.28,0.313134936,-0.07101
-0.28,0.148189068,0.28,0.312779841,-0.06919
0.04,0.096756489,0.28,0.31755189,-0.07091
-0.08,0.099132602,0.28,0.316297448,-0.07354
-0.01,0.144938859,0.28,0.309804711,-0.07384
0.02,0.142203439,0.49,0.311056856,-0.07626
-0.06,0.178987049,0.68,0.316527568,-0.07394
-0.05,0.251468415,0.68,0.314981762,-0.07232
-0.21,0.255940334,0.68,0.306355348,-0.07273
0.28,0.319838027,0.68,0.308447691,-0.07556
-0.04,0.396067028,0.68,0.30905296,-0.07818
-0.4,0.398809592,0.68,0.31167287,-0.07889
-0.68,0.432281474,0.68,0.311947762,-0.07939
-0.35,0.443758739,0.68,0.312032951,-0.07939
0.49,0.445353792,0.68,0.319764587,-0.07354
0.68,0.485099802,0.68,0.32391227,-0.07303
0.13,0.496253234,0.64,0.326713898,-0.07293
-0.57,0.479715825,0.64,0.319119601,-0.07455
-0.4,0.450030302,0.64,0.314533176,-0.07535
0.09,0.438986436,0.64,0.316840018,-0.07434
0.64,0.415283036,0.64,0.316690388,-0.07808
0.31,0.378744337,0.41,0.316765911,-0.07566
-0.07,0.391289244,0.41,0.316694934,-0.07444
-0.45,0.350430904,0.41,0.315214072,-0.07384
-0.2,0.346698716,0.41,0.316008817,-0.07394
0.06,0.368451304,0.41,0.316440264,-0.06960
0.41,0.30578067,0.41,0.316279241,-0.06475
0.34,0.301372617,0.34,0.316279241,-0.06010
-0.21,0.30209571,0.27,0.318985622,-0.05949
-0.37,0.272316661,0.27,0.319060602,-0.06343
-0.37,0.310992546,0.27,0.318420451,-0.06889
0.08,0.331097349,0.27,0.315080893,-0.07232
0.27,0.297266333,0.27,0.319247107,-0.07202
0.03,0.247834255,0.03,0.316229517,-0.07343
-0.13,0.247966273,-0.01,0.304094065,-0.07485
-0.53,0.246701881,-0.01,0.301908474,-0.07677
